                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                 0.5305,                0.54043,                0.98669,                0.98272,                      1,                  0.995,                0.90005,                0.43826,                0.44407,                0.94907,             0.00078295,             0.00078295,             0.00078295
                    140,                 0.5241,                0.60726,                 1.0108,                0.98544,                      1,                  0.995,                0.91001,                0.46162,                  0.463,                 0.9552,             0.00077823,             0.00077823,             0.00077823
                    141,                0.60356,                0.68047,                 1.0623,                0.98594,                      1,                  0.995,                0.89926,                0.47678,                0.47967,                0.96008,             0.00077352,             0.00077352,             0.00077352
                    142,                0.51172,                0.53361,                0.98962,                0.98681,                      1,                  0.995,                0.92677,                0.44491,                0.45276,                0.94165,              0.0007688,              0.0007688,              0.0007688
                    143,                0.63175,                0.67748,                 1.1103,                0.98501,                      1,                  0.995,                0.93349,                0.42204,                0.43898,                0.93605,             0.00076409,             0.00076409,             0.00076409
                    144,                0.57796,                0.55516,                 1.0361,                0.98691,                      1,                  0.995,                0.92779,                0.40504,                0.44625,                0.93458,             0.00075937,             0.00075937,             0.00075937
                    145,                0.53306,                0.52053,                 1.0242,                0.98951,                      1,                  0.995,                0.89281,                0.42992,                0.45955,                0.94531,             0.00075465,             0.00075465,             0.00075465
                    146,                0.55282,                0.57151,                 1.0267,                0.98928,                      1,                  0.995,                0.88695,                0.48628,                0.48246,                0.97383,             0.00074994,             0.00074994,             0.00074994
                    147,                0.60448,                0.59374,                 1.0694,                0.98676,                      1,                  0.995,                0.89567,                 0.4653,                0.47528,                0.96481,             0.00074522,             0.00074522,             0.00074522
                    148,                0.57413,                0.59211,                 1.0503,                0.98242,                      1,                  0.995,                0.94975,                0.40308,                0.44997,                0.93979,             0.00074051,             0.00074051,             0.00074051
                    149,                0.59421,                0.62443,                 1.0574,                0.97523,                      1,                  0.995,                0.93269,                0.39351,                0.43775,                0.93751,             0.00073579,             0.00073579,             0.00073579
                    150,                0.50627,                0.51707,                0.97665,                0.96611,                      1,                  0.995,                0.93842,                0.39636,                0.44118,                0.93247,             0.00073108,             0.00073108,             0.00073108
                    151,                0.57261,                0.56668,                 1.0566,                0.98185,                      1,                  0.995,                0.93033,                0.39822,                0.42612,                 0.9289,             0.00072636,             0.00072636,             0.00072636
                    152,                0.51381,                0.55921,                 0.9909,                0.99049,                      1,                  0.995,                0.90655,                0.41973,                0.42905,                0.92984,             0.00072164,             0.00072164,             0.00072164
                    153,                0.49258,                0.51394,                 1.0107,                0.98908,                      1,                  0.995,                0.90049,                0.45315,                0.42699,                0.94106,             0.00071693,             0.00071693,             0.00071693
