                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.65762,                0.77123,                  1.071,                0.83289,                 0.8599,                0.90417,                0.69682,                0.93589,                0.98497,                 1.3139,             0.00092678,             0.00092678,             0.00092678
                     74,                0.67955,                0.76042,                  1.102,                0.83908,                0.86224,                0.91026,                0.68582,                0.95869,                0.96761,                 1.3548,              0.0009197,              0.0009197,              0.0009197
                     75,                0.64558,                0.71435,                 1.0654,                0.86483,                0.89284,                 0.9229,                0.68448,                0.98998,                0.91207,                 1.3327,             0.00091263,             0.00091263,             0.00091263
                     76,                0.61743,                0.71749,                 1.0792,                0.86385,                0.96296,                0.97001,                0.73087,                0.97055,                0.84374,                 1.3175,             0.00090556,             0.00090556,             0.00090556
                     77,                0.62199,                 0.6795,                 1.0287,                0.87175,                0.96075,                0.97927,                 0.7454,                0.91524,                0.83339,                 1.2759,             0.00089848,             0.00089848,             0.00089848
                     78,                0.59318,                 0.6821,                 1.0416,                 0.8352,                0.95465,                0.94942,                0.73674,                0.89391,                0.85001,                 1.2724,             0.00089141,             0.00089141,             0.00089141
                     79,                0.56041,                0.66149,                 1.0147,                0.81525,                0.96296,                0.95636,                0.74013,                0.90147,                 0.8261,                 1.2715,             0.00088434,             0.00088434,             0.00088434
                     80,                0.58678,                0.65933,                 1.0137,                0.87539,                0.93102,                0.95763,                0.72932,                0.92354,                0.79779,                 1.2864,             0.00087726,             0.00087726,             0.00087726
                     81,                0.57901,                0.67438,                 1.0338,                0.80542,                0.94569,                0.92035,                0.69671,                0.91405,                0.86172,                 1.2828,             0.00087019,             0.00087019,             0.00087019
                     82,                0.60194,                0.66009,                 1.0207,                0.89005,                0.92079,                 0.9518,                0.70007,                0.93741,                0.84986,                 1.3046,             0.00086312,             0.00086312,             0.00086312
                     83,                0.56006,                 0.6939,                 1.0257,                0.96976,                0.92084,                0.98689,                0.72832,                 0.9899,                0.77755,                 1.3749,             0.00085604,             0.00085604,             0.00085604
                     84,                0.59704,                0.65007,                 1.0669,                0.92799,                0.96598,                 0.9813,                0.71661,                0.97475,                0.75289,                 1.3535,             0.00084897,             0.00084897,             0.00084897
                     85,                0.53885,                 0.6497,                 1.0005,                0.96347,                 0.9619,                0.99133,                0.73823,                0.99355,                0.76135,                 1.3384,              0.0008419,              0.0008419,              0.0008419
                     86,                0.49734,                0.57491,                0.98017,                0.87621,                0.97127,                0.97208,                0.72262,                 1.0137,                 0.8724,                  1.403,             0.00083482,             0.00083482,             0.00083482
                     87,                0.53965,                0.56461,                 0.9926,                0.85612,                0.79132,                0.92736,                0.67741,                0.97503,                0.99179,                 1.4032,             0.00082775,             0.00082775,             0.00082775
                     88,                0.56769,                0.66429,                 1.0289,                0.88252,                0.90256,                 0.9725,                0.73397,                0.90551,                0.91834,                 1.3086,             0.00082067,             0.00082067,             0.00082067
                     89,                0.54982,                0.63382,                 1.0159,                 0.8579,                0.99311,                0.97396,                0.74687,                0.87609,                0.75215,                 1.2887,              0.0008136,              0.0008136,              0.0008136
                     90,                0.51357,                0.61243,                0.98183,                0.84958,                0.95833,                0.95352,                0.72073,                0.88163,                0.75533,                 1.2669,             0.00080653,             0.00080653,             0.00080653
                     91,                0.54886,                0.58707,                 1.0254,                 0.7794,                0.93796,                0.92632,                0.71908,                0.94648,                0.80012,                 1.3247,             0.00079945,             0.00079945,             0.00079945
                     92,                0.52265,                0.58713,                0.99075,                0.78157,                0.91571,                0.92894,                0.71916,                0.89503,                0.82617,                 1.2991,             0.00079238,             0.00079238,             0.00079238
                     93,                0.54068,                0.63683,                 1.0233,                0.78645,                0.87963,                0.91929,                0.70408,                0.95544,                0.88139,                 1.3155,             0.00078531,             0.00078531,             0.00078531
                     94,                0.48364,                0.56439,                0.98365,                0.82156,                0.87211,                 0.9296,                0.70612,                0.93055,                0.87318,                 1.2715,             0.00077823,             0.00077823,             0.00077823
                     95,                0.54478,                0.58758,                 1.0256,                0.85304,                 0.9213,                0.95409,                0.72326,                0.93164,                0.83394,                 1.2681,             0.00077116,             0.00077116,             0.00077116
                     96,                0.55121,                0.63313,                 1.0173,                0.85622,                0.91104,                0.95966,                0.73223,                0.96272,                0.87411,                 1.3037,             0.00076409,             0.00076409,             0.00076409
                     97,                0.57127,                0.66118,                 1.0488,                0.85932,                0.91355,                0.97204,                0.75023,                 1.0112,                0.87484,                 1.3657,             0.00075701,             0.00075701,             0.00075701
                     98,                0.59185,                0.65612,                 1.0997,                0.96147,                0.84365,                  0.978,                0.77876,                0.92102,                0.85808,                 1.3308,             0.00074994,             0.00074994,             0.00074994
                     99,                0.48659,                0.54098,                0.98893,                0.87874,                0.90943,                0.96474,                0.77291,                0.89696,                 0.8325,                 1.3175,             0.00074287,             0.00074287,             0.00074287
                    100,                0.54829,                 0.5972,                 1.0194,                 0.8315,                0.97155,                0.96617,                 0.7426,                0.86415,                0.77028,                  1.274,             0.00073579,             0.00073579,             0.00073579
                    101,                0.53487,                0.63583,                 1.0267,                0.89485,                0.95833,                0.97367,                0.75434,                0.85974,                 0.7301,                 1.2963,             0.00072872,             0.00072872,             0.00072872
                    102,                0.53555,                0.60864,                0.98989,                0.92884,                0.90876,                0.96592,                0.75658,                0.86178,                   0.72,                 1.2966,             0.00072164,             0.00072164,             0.00072164
