                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.67687,                 0.7163,                 1.0866,                0.97206,                0.95238,                0.98409,                0.84173,                0.65279,                 0.5594,                 1.1002,             0.00099987,             0.00099987,             0.00099987
                     94,                0.56372,                 0.6041,                 1.0267,                0.92228,                0.99183,                  0.995,                0.85623,                0.65497,                0.58094,                 1.0854,             0.00099516,             0.00099516,             0.00099516
                     95,                 0.6316,                0.69224,                 1.0693,                0.97149,                0.97906,                  0.995,                0.85576,                0.65866,                0.56008,                 1.0603,             0.00099044,             0.00099044,             0.00099044
                     96,                 0.6496,                0.68686,                 1.0652,                0.98558,                0.97392,                  0.995,                0.86852,                0.63089,                0.54936,                 1.0375,             0.00098572,             0.00098572,             0.00098572
                     97,                0.70177,                0.69474,                 1.1197,                0.98717,                0.96598,                  0.995,                0.87297,                0.60807,                0.55362,                 1.0189,             0.00098101,             0.00098101,             0.00098101
                     98,                0.65422,                0.68684,                 1.1184,                0.98591,                0.96427,                  0.995,                0.87899,                 0.5925,                 0.5669,                 1.0352,             0.00097629,             0.00097629,             0.00097629
                     99,                0.58294,                0.59604,                  1.025,                0.97944,                0.97045,                  0.995,                0.87308,                0.58233,                0.56215,                 1.0543,             0.00097158,             0.00097158,             0.00097158
                    100,                0.64188,                0.64372,                 1.0647,                0.97466,                0.98108,                  0.995,                0.88189,                 0.5889,                0.57217,                 1.0625,             0.00096686,             0.00096686,             0.00096686
                    101,                0.63752,                0.68902,                 1.0828,                0.97201,                      1,                  0.995,                0.87368,                0.62985,                 0.5546,                 1.0756,             0.00096215,             0.00096215,             0.00096215
                    102,                0.62833,                 0.6404,                 1.0421,                0.98384,                      1,                  0.995,                0.85776,                0.64387,                 0.5466,                 1.0673,             0.00095743,             0.00095743,             0.00095743
                    103,                0.67406,                0.64754,                 1.0885,                0.98789,                      1,                  0.995,                 0.8644,                0.59718,                0.51971,                 1.0461,             0.00095271,             0.00095271,             0.00095271
                    104,                0.63425,                0.60453,                 1.0568,                0.98405,                      1,                  0.995,                0.87993,                 0.5525,                0.50397,                 1.0291,               0.000948,               0.000948,               0.000948
                    105,                0.66955,                 0.6484,                 1.0851,                0.97761,                      1,                  0.995,                0.90066,                0.54932,                0.52402,                 1.0201,             0.00094328,             0.00094328,             0.00094328
                    106,                0.60487,                0.64455,                 1.0583,                0.97399,                      1,                  0.995,                0.87507,                0.56555,                0.53696,                 1.0269,             0.00093857,             0.00093857,             0.00093857
                    107,                0.65749,                0.66722,                 1.0796,                 0.9815,                      1,                  0.995,                0.86492,                 0.5676,                0.51664,                 1.0284,             0.00093385,             0.00093385,             0.00093385
                    108,                0.62256,                0.61814,                 1.0867,                0.97759,                      1,                  0.995,                 0.8778,                0.55405,                0.50929,                 1.0165,             0.00092914,             0.00092914,             0.00092914
                    109,                0.64942,                 0.6269,                 1.0758,                0.97669,                0.99848,                  0.995,                0.89534,                0.56505,                0.50345,                 1.0218,             0.00092442,             0.00092442,             0.00092442
                    110,                0.64064,                0.65252,                 1.0567,                0.97394,                0.99825,                  0.995,                0.88601,                0.56925,                0.48834,                 1.0206,              0.0009197,              0.0009197,              0.0009197
                    111,                0.58892,                0.62255,                 1.0377,                0.97915,                0.99572,                  0.995,                0.87035,                0.58502,                0.50676,                 1.0289,             0.00091499,             0.00091499,             0.00091499
                    112,                0.64943,                0.65611,                 1.0601,                0.97106,                0.99916,                  0.995,                0.86525,                0.60484,                0.51375,                  1.035,             0.00091027,             0.00091027,             0.00091027
                    113,                0.60204,                0.66237,                 1.0501,                 0.9684,                      1,                  0.995,                0.85047,                0.62602,                0.54659,                 1.0389,             0.00090556,             0.00090556,             0.00090556
                    114,                0.57727,                0.62046,                 1.0502,                0.97782,                0.96765,                  0.995,                0.85671,                0.63314,                0.56618,                   1.04,             0.00090084,             0.00090084,             0.00090084
                    115,                0.67244,                0.63296,                  1.056,                0.98115,                0.93791,                  0.995,                0.84163,                0.59856,                0.61645,                 1.0269,             0.00089613,             0.00089613,             0.00089613
                    116,                 0.5826,                 0.5977,                 1.0281,                0.97804,                0.90804,                  0.995,                0.83783,                0.59814,                0.65979,                 1.0272,             0.00089141,             0.00089141,             0.00089141
                    117,                 0.5668,                 0.5682,                  1.006,                0.94451,                0.90292,                0.98689,                0.83214,                0.59161,                0.66862,                 1.0294,             0.00088669,             0.00088669,             0.00088669
                    118,                0.59628,                0.58683,                 1.0368,                0.92614,                0.95851,                0.98583,                0.84522,                0.61318,                0.62418,                 1.0584,             0.00088198,             0.00088198,             0.00088198
                    119,                0.59567,                0.63947,                 1.0606,                0.92902,                0.98382,                  0.984,                0.82241,                0.62717,                0.59845,                 1.0721,             0.00087726,             0.00087726,             0.00087726
                    120,                   0.63,                0.61579,                 1.0625,                0.94198,                0.96241,                  0.984,                0.86457,                 0.5522,                0.57964,                 1.0325,             0.00087255,             0.00087255,             0.00087255
                    121,                0.61674,                0.61495,                 1.0597,                0.98416,                      1,                  0.995,                0.90545,                0.49032,                0.50437,                0.98523,             0.00086783,             0.00086783,             0.00086783
                    122,                0.58192,                0.62115,                 1.0417,                0.98438,                0.99337,                  0.995,                0.89804,                0.48953,                 0.4688,                0.98788,             0.00086312,             0.00086312,             0.00086312
                    123,                0.59711,                0.63008,                 1.0308,                 0.9813,                0.99735,                  0.995,                 0.9114,                 0.5063,                0.44958,                0.99611,              0.0008584,              0.0008584,              0.0008584
                    124,                0.59646,                0.56571,                 1.0399,                0.98476,                0.99931,                  0.995,                0.90954,                0.51423,                0.45258,                 1.0041,             0.00085368,             0.00085368,             0.00085368
                    125,                0.58243,                0.57261,                 1.0529,                0.98154,                      1,                  0.995,                0.91514,                0.49474,                0.44621,                0.99336,             0.00084897,             0.00084897,             0.00084897
                    126,                0.58079,                0.56364,                 1.0061,                0.97646,                      1,                  0.995,                0.90968,                 0.4992,                0.44619,                0.99355,             0.00084425,             0.00084425,             0.00084425
                    127,                0.57846,                0.52734,                  1.044,                0.97979,                0.99301,                  0.995,                0.90455,                0.49933,                0.45485,                0.98533,             0.00083954,             0.00083954,             0.00083954
                    128,                0.57061,                0.57988,                 1.0508,                0.97883,                0.99614,                  0.995,                 0.8886,                0.50897,                0.43521,                0.99307,             0.00083482,             0.00083482,             0.00083482
                    129,                0.56392,                0.56121,                0.99666,                0.97778,                0.99561,                  0.995,                0.89885,                0.52906,                0.43262,                 1.0041,             0.00083011,             0.00083011,             0.00083011
                    130,                0.54483,                0.54633,                 1.0114,                0.97544,                0.99739,                  0.995,                0.92238,                0.48251,                0.42402,                 0.9902,             0.00082539,             0.00082539,             0.00082539
                    131,                0.53206,                0.50481,                 1.0005,                0.97743,                0.99756,                  0.995,                0.92617,                0.44388,                0.41363,                0.97942,             0.00082067,             0.00082067,             0.00082067
                    132,                0.56576,                0.51894,                  1.027,                0.98149,                0.99937,                  0.995,                0.93084,                0.44487,                 0.4129,                0.96977,             0.00081596,             0.00081596,             0.00081596
                    133,                0.51548,                0.51127,                0.95945,                0.98167,                      1,                  0.995,                0.95051,                0.42203,                0.41014,                0.96098,             0.00081124,             0.00081124,             0.00081124
                    134,                0.50678,                0.51544,                0.98274,                0.98548,                      1,                  0.995,                0.91562,                0.47978,                0.44397,                0.97388,             0.00080653,             0.00080653,             0.00080653
                    135,                0.54317,                0.50382,                 1.0089,                0.98616,                      1,                  0.995,                0.89239,                0.50447,                0.46797,                0.98293,             0.00080181,             0.00080181,             0.00080181
                    136,                  0.604,                0.59593,                 1.0481,                0.98469,                0.98759,                  0.995,                0.91781,                0.46605,                0.45888,                0.96643,              0.0007971,              0.0007971,              0.0007971
                    137,                0.54875,                0.58189,                 1.0255,                0.98528,                0.98753,                  0.995,                0.92839,                 0.4581,                0.43442,                 0.9653,             0.00079238,             0.00079238,             0.00079238
                    138,                0.55641,                0.55024,                 1.0098,                0.98095,                0.99613,                  0.995,                0.92499,                 0.4513,                0.42724,                 0.9697,             0.00078766,             0.00078766,             0.00078766
                    139,                0.57576,                0.53912,                  1.008,                0.97879,                      1,                  0.995,                0.89736,                0.43921,                0.41539,                0.97979,             0.00078295,             0.00078295,             0.00078295
                    140,                0.52925,                0.52492,                 1.0087,                0.97858,                      1,                  0.995,                0.91036,                0.45773,                0.41111,                0.98839,             0.00077823,             0.00077823,             0.00077823
                    141,                0.49713,                0.48942,                0.99571,                0.97471,                0.99717,                  0.995,                0.90735,                0.44617,                0.39776,                0.98868,             0.00077352,             0.00077352,             0.00077352
                    142,                0.52502,                0.51276,                0.98808,                0.97555,                      1,                  0.995,                0.91789,                0.45016,                0.38705,                0.99868,              0.0007688,              0.0007688,              0.0007688
                    143,                  0.539,                0.52246,                 1.0091,                0.97862,                      1,                  0.995,                0.89241,                0.49773,                0.38521,                 1.0259,             0.00076409,             0.00076409,             0.00076409
                    144,                0.51541,                0.52997,                 1.0017,                0.97986,                      1,                  0.995,                0.89041,                0.53419,                0.40564,                 1.0438,             0.00075937,             0.00075937,             0.00075937
                    145,                0.53898,                0.50637,                0.99569,                0.98108,                0.99939,                  0.995,                0.89267,                0.50655,                0.41024,                 1.0336,             0.00075465,             0.00075465,             0.00075465
                    146,                0.51109,                0.49983,                0.99425,                0.97877,                0.99659,                  0.995,                0.90324,                 0.4956,                0.41354,                 1.0265,             0.00074994,             0.00074994,             0.00074994
                    147,                0.56764,                0.54533,                 1.0405,                0.97914,                0.99672,                  0.995,                0.89819,                0.49695,                0.41732,                 1.0194,             0.00074522,             0.00074522,             0.00074522
                    148,                0.51273,                0.51621,                0.99208,                0.97948,                0.99725,                  0.995,                0.89796,                0.48119,                0.40153,                 1.0121,             0.00074051,             0.00074051,             0.00074051
                    149,                0.56951,                0.52421,                 1.0117,                0.97919,                0.99731,                  0.995,                0.91231,                0.45583,                0.38923,                 1.0124,             0.00073579,             0.00073579,             0.00073579
                    150,                0.52549,                0.50734,                0.99323,                0.97731,                0.99722,                  0.995,                0.89629,                0.46493,                0.40837,                 1.0036,             0.00073108,             0.00073108,             0.00073108
                    151,                0.54488,                0.49803,                  1.015,                0.97332,                0.99691,                  0.995,                0.89155,                 0.5093,                0.41484,                 1.0117,             0.00072636,             0.00072636,             0.00072636
                    152,                0.56889,                0.53736,                 1.0703,                0.96847,                0.99778,                  0.995,                 0.8866,                0.53543,                0.42838,                 1.0224,             0.00072164,             0.00072164,             0.00072164
                    153,                0.51041,                0.47954,                0.97246,                0.96707,                0.99863,                  0.995,                0.87898,                0.53157,                0.43177,                 1.0286,             0.00071693,             0.00071693,             0.00071693
